id,产品名称,规格,单位,品牌,品牌简写,品牌代码,分类,分类代码,分类简称,分类slug,产品编码,图片,描述,价格
3a0bccc66f21,高师傅菠萝果肉馅,1*4*3kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010273,,规格: 1*4*3kg / 单位: 桶,
7c84490737e4,高师傅蓝莓果肉馅,1*4*3kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010274,,规格: 1*4*3kg / 单位: 桶,
402c03a2d19e,高师傅草莓果肉馅,1*4*3kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010275,,规格: 1*4*3kg / 单位: 桶,
29327b7dc732,高师傅芒果果肉馅,1*4*3kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010276,,规格: 1*4*3kg / 单位: 桶,
f5a1bb9e8020,高师傅芒果果茸,1*6*1kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010277,,规格: 1*6*1kg / 单位: 桶,
fd26d55f5f4d,高师傅蓝莓果茸,1*6*1kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010278,,规格: 1*6*1kg / 单位: 桶,
78e80d89cfe8,高师傅草莓果茸,1*6*1kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010279,,规格: 1*6*1kg / 单位: 桶,
0b9299c452b4,高师傅覆盆子果茸,1*6*1kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010280,,规格: 1*6*1kg / 单位: 桶,
b2af7687f0ff,高师傅芒果果粒馅,1*4*3kg,桶,高师傅,高师傅,010,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005010001,,规格: 1*4*3kg / 单位: 桶,
51a49cf147af,利好枣泥馅（3）,1*3*5kg,箱,利好,利好,111,装饰/插件/翻糖,011,装饰/翻糖,decorations-toppers-fondant,011111002,,规格: 1*3*5kg / 单位: 箱,
157ec335fe08,利好山楂馅（3）,1*3*5kg,箱,利好,利好,111,装饰/插件/翻糖,011,装饰/翻糖,decorations-toppers-fondant,011111003,,规格: 1*3*5kg / 单位: 箱,
09ad1b7ed728,利好豆沙馅,1*3*5kg,箱,利好,利好,111,装饰/插件/翻糖,011,装饰/翻糖,decorations-toppers-fondant,011111004,,规格: 1*3*5kg / 单位: 箱,
